Wall time,Step,Value
1681958098.705347,897,-467.5982666015625
1681958100.7914062,899,-473.00384521484375
1681958101.835802,900,-551.8336791992188
1681958109.178665,907,-424.35174560546875
1681958110.2520971,908,-507.22991943359375
1681958111.340194,909,-485.9832763671875
1681958112.42012,910,-501.8985900878906
1681958113.49244,911,-512.444580078125
1681958114.54668,912,-444.9811706542969
1681958115.604778,913,-376.8858337402344
1681958117.71436,915,-483.88787841796875
1681958118.755341,916,-485.0837707519531
1681958119.811952,917,-480.6958312988281
1681958122.9488041,920,-509.4889221191406
1681958124.00526,921,-449.0898742675781
1681958125.049067,922,-585.2035522460938
1681958126.104474,923,-485.46295166015625
1681958128.188611,925,-467.6533203125
1681958134.443232,931,-491.41845703125
1681958135.490571,932,-451.3211364746094
1681958136.538643,933,-528.4622192382812
1681958138.628598,935,-556.8685913085938
1681958142.8104079,939,-480.9236145019531
1681958145.957401,942,-372.3936767578125
1681958149.0966778,945,-454.7664489746094
1681958153.2743108,949,-558.912109375
1681958156.415068,952,-682.9482421875
1681958157.454677,953,-473.6042175292969
1681958158.503365,954,-544.9877319335938
1681958160.600377,956,-491.62811279296875
1681958161.6467252,957,-510.7906188964844
1681958162.692107,958,-468.1971130371094
1681958165.833827,961,-394.96856689453125
1681958166.878596,962,-435.96234130859375
1681958168.959411,964,-597.6185302734375
1681958171.048974,966,-635.9024047851562
1681958172.0886972,967,-506.869384765625
1681958174.188561,969,-431.12823486328125
1681958176.2821991,971,-381.70501708984375
1681958177.337217,972,-309.29071044921875
1681958179.435053,974,-414.91943359375
1681958181.5351832,976,-418.4382019042969
1681958182.5850291,977,-572.2272338867188
1681958183.626477,978,-470.64764404296875
1681958184.670594,979,-466.5870666503906
1681958187.8137238,982,-420.400634765625
1681958188.868819,983,-587.8407592773438
1681958189.9148622,984,-372.40875244140625
1681958193.068371,987,-510.604736328125
1681958194.1199942,988,-514.9288940429688
1681958202.474397,996,-437.1357727050781
1681958205.621024,999,-437.69329833984375
1681958206.663649,1000,-455.62591552734375
1681958208.75359,1002,-429.7746887207031
1681958210.86701,1004,-503.70458984375
1681958211.909493,1005,-525.5255126953125
1681958215.056731,1008,-542.8411865234375
1681958216.101938,1009,-619.8223876953125
1681958218.197681,1011,-590.1802368164062
1681958219.2535958,1012,-555.5369262695312
1681958220.309355,1013,-418.6675109863281
1681958221.3504891,1014,-513.625
1681958224.4993842,1017,-541.6720581054688
1681958232.904926,1025,-424.89483642578125
1681958233.952479,1026,-576.9627685546875
1681958234.993658,1027,-682.4340209960938
1681958237.0695198,1029,-480.88482666015625
1681958239.167265,1031,-508.1305847167969
1681958240.214658,1032,-525.3414916992188
1681958241.264228,1033,-474.9535217285156
1681958243.358277,1035,-537.7391967773438
1681958245.425529,1037,-477.0806884765625
1681958246.4808161,1038,-524.0184326171875
1681958247.50631,1039,-479.7613830566406
1681958250.667584,1042,-455.4978942871094
1681958251.704671,1043,-875.27294921875
1681958252.759901,1044,-401.9488830566406
1681958258.010477,1049,-438.4906921386719
1681958260.1169631,1051,-435.56304931640625
1681958261.1699378,1052,-533.1796875
1681958263.2755609,1054,-521.1790771484375
1681958264.3282182,1055,-402.85418701171875
1681958266.438561,1057,-459.3346252441406
1681958272.674331,1063,-451.5108642578125
1681958273.7363222,1064,-472.8409118652344
1681958275.8172228,1066,-533.6840209960938
1681958277.911244,1068,-552.8662109375
1681958282.115718,1072,-465.18316650390625
1681958284.197809,1074,-732.505126953125
1681958286.292686,1076,-452.4128112792969
1681958288.38752,1078,-440.6816711425781
1681958290.487668,1080,-541.98095703125
1681958292.578988,1082,-418.9617004394531
1681958293.6376572,1083,-457.23004150390625
1681958294.705465,1084,-444.25775146484375
1681958295.736693,1085,-452.1879577636719
1681958296.799277,1086,-445.199462890625
1681958301.046058,1090,-419.9830627441406
1681958303.142669,1092,-637.9010009765625
1681958304.194825,1093,-376.01788330078125
1681958310.488561,1099,-389.7823486328125
1681958312.593195,1101,-535.3632202148438
1681958314.664808,1103,-416.9776611328125
1681958315.7070038,1104,-412.8721008300781
1681958316.764351,1105,-550.682861328125
1681958323.221824,1111,-460.54449462890625
1681958326.387775,1114,-457.5549621582031
1681958328.54256,1116,-438.859130859375
1681958331.757209,1119,-469.6546630859375
1681958334.933461,1122,-500.9383850097656
1681958336.0342898,1123,-531.3143920898438
1681958338.180779,1125,-437.3148193359375
1681958339.2424169,1126,-393.5074462890625
1681958340.299694,1127,-492.7044677734375
1681958341.3594491,1128,-470.64013671875
1681958343.453161,1130,-430.77239990234375
1681958344.505952,1131,-491.7895812988281
1681958346.607597,1133,-468.5112609863281
1681958347.650511,1134,-409.634765625
1681958348.7028322,1135,-504.2085266113281
1681958351.8655622,1138,-324.1935729980469
1681958352.920012,1139,-444.53326416015625
1681958355.021334,1141,-442.80950927734375
1681958363.4047801,1149,-714.3319091796875
1681958364.459169,1150,-488.37225341796875
1681958365.513927,1151,-512.7858276367188
1681958366.560191,1152,-462.5976867675781
1681958369.722038,1155,-489.3371276855469
1681958370.7779148,1156,-472.42572021484375
1681958371.814859,1157,-446.38580322265625
1681958374.953268,1160,-549.543701171875
1681958375.995275,1161,-317.67474365234375
1681958377.038323,1162,-365.5263366699219
1681958380.19679,1165,-500.210205078125
1681958392.8006809,1177,-574.7705078125
1681958395.970773,1180,-473.8887634277344
1681958398.082209,1182,-399.1564636230469
1681958399.1416142,1183,-387.6932067871094
1681958401.242611,1185,-368.3056640625
1681958402.2875268,1186,-390.4041442871094
1681958405.4444978,1189,-504.0500183105469
1681958408.5876448,1192,-440.8488464355469
1681958409.6240041,1193,-356.6837158203125
1681958410.6832268,1194,-464.7008056640625
1681958411.734106,1195,-484.15509033203125
1681958412.781149,1196,-496.7843933105469
1681958413.8245308,1197,-391.33135986328125
1681958414.875222,1198,-472.24530029296875
1681958415.927109,1199,-445.2204895019531
1681958418.032158,1201,-465.84814453125
1681958420.163527,1203,-519.3004760742188
1681958421.21231,1204,-497.9017639160156
1681958423.298517,1206,-456.71527099609375
1681958425.4032562,1208,-363.1905822753906
1681958427.5034602,1210,-481.7613830566406
1681958428.5559108,1211,-381.69329833984375
1681958429.6015701,1212,-419.4305725097656
1681958430.649359,1213,-401.4652404785156
1681958431.698956,1214,-462.05126953125
1681958432.7500548,1215,-560.1617431640625
1681958437.004152,1219,-484.3471984863281
1681958442.317557,1224,-520.435546875
1681958443.3990982,1225,-468.6350402832031
1681958445.614849,1227,-445.2441711425781
1681958446.6959739,1228,-547.9639892578125
1681958451.074991,1232,-404.4800109863281
1681958452.160384,1233,-427.5815734863281
1681958453.269255,1234,-547.1437377929688
1681958455.4757419,1236,-312.4425964355469
1681958458.652697,1239,-384.0697021484375
1681958461.807134,1242,-429.944580078125
1681958463.899246,1244,-360.51202392578125
1681958466.008069,1246,-443.0945129394531
1681958467.0566778,1247,-453.3240051269531
1681958469.152454,1249,-474.5892639160156
1681958470.209155,1250,-390.93804931640625
1681958473.369361,1253,-501.4674987792969
1681958474.417242,1254,-410.7062683105469
1681958475.518317,1255,-440.2884521484375
1681958477.6331031,1257,-535.6292724609375
1681958478.672611,1258,-395.5924072265625
1681958479.731352,1259,-413.806396484375
1681958481.83125,1261,-491.8578796386719
1681958482.8751948,1262,-456.7106018066406
1681958483.932257,1263,-422.30230712890625
1681958484.988466,1264,-503.25006103515625
1681958486.042237,1265,-560.8255004882812
1681958487.0722828,1266,-565.3876953125
1681958492.3516202,1271,-436.16802978515625
1681958493.410084,1272,-474.0343933105469
1681958495.49072,1274,-500.3558349609375
1681958499.665344,1278,-568.172119140625
1681958500.7041228,1279,-492.7944030761719
1681958502.805094,1281,-493.911865234375
1681958506.998143,1285,-477.2671813964844
